,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax
0,-1,,Live animals; animal products,True,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0.0,Done,AT,,,,,
1,-2,,Vegetable products,True,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1.0,Done,AT,,,,,
2,-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,True,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2.0,Done,AT,,,,,
3,-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",True,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3.0,Done,AT,,,,,
4,-5,,Mineral products,True,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4.0,Done,AT,,,,,
5,-6,,Products of the chemical or allied industries,True,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5.0,Done,AT,,,,,
6,-7,,Plastics and articles thereof; rubber and articles thereof,True,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6.0,Done,AT,,,,,
7,-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",True,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7.0,Done,AT,,,,,
8,-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",True,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8.0,Done,AT,,,,,
9,-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,True,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9.0,Done,AT,,,,,
10,-11,,Textiles and textile articles,True,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10.0,Done,AT,,,,,
11,-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",True,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11.0,Done,AT,,,,,
12,-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",True,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12.0,Done,AT,,,,,
13,-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",True,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13.0,Done,AT,,,,,
14,-15,,Base metals and articles of base metal,True,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14.0,Done,AT,,,,,
15,-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",True,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15.0,Done,AT,,,,,
16,-17,,"Vehicles, aircraft, vessels and associated transport equipment",True,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16.0,Done,AT,,,,,
17,-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",True,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17.0,Done,AT,,,,,
18,-19,,Arms and ammunition; parts and accessories thereof,True,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18.0,Done,AT,,,,,
19,-20,,Miscellaneous manufactured articles,True,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19.0,Done,AT,,,,,
20,-21,,"Works of art, collectors' pieces and antiques",True,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20.0,Done,AT,,,,,
21,-1,,Live animals; animal products,True,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0.0,Done,BE,,,,,
22,-2,,Vegetable products,True,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1.0,Done,BE,,,,,
23,-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,True,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2.0,Done,BE,,,,,
24,-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",True,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3.0,Done,BE,,,,,
25,-5,,Mineral products,True,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4.0,Done,BE,,,,,
26,-6,,Products of the chemical or allied industries,True,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5.0,Done,BE,,,,,
27,-7,,Plastics and articles thereof; rubber and articles thereof,True,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6.0,Done,BE,,,,,
28,-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",True,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7.0,Done,BE,,,,,
29,-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",True,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8.0,Done,BE,,,,,
30,-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,True,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9.0,Done,BE,,,,,
31,-11,,Textiles and textile articles,True,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10.0,Done,BE,,,,,
32,-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",True,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11.0,Done,BE,,,,,
33,-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",True,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12.0,Done,BE,,,,,
34,-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",True,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13.0,Done,BE,,,,,
35,-15,,Base metals and articles of base metal,True,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14.0,Done,BE,,,,,
36,-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",True,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15.0,Done,BE,,,,,
37,-17,,"Vehicles, aircraft, vessels and associated transport equipment",True,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16.0,Done,BE,,,,,
38,-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",True,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17.0,Done,BE,,,,,
39,-19,,Arms and ammunition; parts and accessories thereof,True,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18.0,Done,BE,,,,,
40,-20,,Miscellaneous manufactured articles,True,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19.0,Done,BE,,,,,
41,-21,,"Works of art, collectors' pieces and antiques",True,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20.0,Done,BE,,,,,
42,-1,,Live animals; animal products,True,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0.0,,BG,,,,,
43,-2,,Vegetable products,True,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1.0,,BG,,,,,
44,-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,True,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2.0,,BG,,,,,
45,-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",True,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3.0,,BG,,,,,
46,-5,,Mineral products,True,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4.0,,BG,,,,,
47,-6,,Products of the chemical or allied industries,True,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5.0,,BG,,,,,
48,-7,,Plastics and articles thereof; rubber and articles thereof,True,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6.0,,BG,,,,,
49,-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",True,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7.0,,BG,,,,,
50,-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",True,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8.0,,BG,,,,,
51,-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,True,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9.0,,BG,,,,,
52,-11,,Textiles and textile articles,True,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10.0,,BG,,,,,
53,-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",True,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11.0,,BG,,,,,
54,-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",True,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12.0,,BG,,,,,
55,-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",True,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13.0,,BG,,,,,
56,-15,,Base metals and articles of base metal,True,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14.0,,BG,,,,,
57,-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",True,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15.0,,BG,,,,,
58,-17,,"Vehicles, aircraft, vessels and associated transport equipment",True,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16.0,,BG,,,,,
59,-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",True,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17.0,,BG,,,,,
60,-19,,Arms and ammunition; parts and accessories thereof,True,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18.0,,BG,,,,,
61,-20,,Miscellaneous manufactured articles,True,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19.0,,BG,,,,,
62,-21,,"Works of art, collectors' pieces and antiques",True,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20.0,,BG,,,,,
63,-1,,Live animals; animal products,True,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0.0,,HR,,,,,
64,-2,,Vegetable products,True,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1.0,,HR,,,,,
65,-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,True,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2.0,,HR,,,,,
66,-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",True,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3.0,,HR,,,,,
67,-5,,Mineral products,True,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4.0,,HR,,,,,
68,-6,,Products of the chemical or allied industries,True,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5.0,,HR,,,,,
69,-7,,Plastics and articles thereof; rubber and articles thereof,True,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6.0,,HR,,,,,
70,-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",True,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7.0,,HR,,,,,
71,-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",True,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8.0,,HR,,,,,
72,-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,True,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9.0,,HR,,,,,
73,-11,,Textiles and textile articles,True,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10.0,,HR,,,,,
74,-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",True,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11.0,,HR,,,,,
75,-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",True,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12.0,,HR,,,,,
76,-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",True,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13.0,,HR,,,,,
77,-15,,Base metals and articles of base metal,True,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14.0,,HR,,,,,
78,-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",True,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15.0,,HR,,,,,
79,-17,,"Vehicles, aircraft, vessels and associated transport equipment",True,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16.0,,HR,,,,,
80,-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",True,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17.0,,HR,,,,,
81,-19,,Arms and ammunition; parts and accessories thereof,True,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18.0,,HR,,,,,
82,-20,,Miscellaneous manufactured articles,True,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19.0,,HR,,,,,
83,-21,,"Works of art, collectors' pieces and antiques",True,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20.0,,HR,,,,,
84,-1,,Live animals; animal products,True,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0.0,,CY,,,,,
85,-2,,Vegetable products,True,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1.0,,CY,,,,,
86,-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,True,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2.0,,CY,,,,,
87,-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",True,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3.0,,CY,,,,,
88,-5,,Mineral products,True,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4.0,,CY,,,,,
89,-6,,Products of the chemical or allied industries,True,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5.0,,CY,,,,,
90,-7,,Plastics and articles thereof; rubber and articles thereof,True,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6.0,,CY,,,,,
91,-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",True,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7.0,,CY,,,,,
92,-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",True,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8.0,,CY,,,,,
93,-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,True,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9.0,,CY,,,,,
94,-11,,Textiles and textile articles,True,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10.0,,CY,,,,,
95,-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",True,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11.0,,CY,,,,,
96,-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",True,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12.0,,CY,,,,,
97,-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",True,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13.0,,CY,,,,,
98,-15,,Base metals and articles of base metal,True,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14.0,,CY,,,,,
99,-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",True,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15.0,,CY,,,,,
100,-17,,"Vehicles, aircraft, vessels and associated transport equipment",True,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16.0,,CY,,,,,
101,-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",True,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17.0,,CY,,,,,
102,-19,,Arms and ammunition; parts and accessories thereof,True,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18.0,,CY,,,,,
103,-20,,Miscellaneous manufactured articles,True,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19.0,,CY,,,,,
104,-21,,"Works of art, collectors' pieces and antiques",True,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20.0,,CY,,,,,
105,-1,,Live animals; animal products,True,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0.0,,CZ,,,,,
106,-2,,Vegetable products,True,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1.0,,CZ,,,,,
107,-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,True,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2.0,,CZ,,,,,
108,-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",True,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3.0,,CZ,,,,,
109,-5,,Mineral products,True,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4.0,,CZ,,,,,
110,-6,,Products of the chemical or allied industries,True,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5.0,,CZ,,,,,
111,-7,,Plastics and articles thereof; rubber and articles thereof,True,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6.0,,CZ,,,,,
112,-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",True,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7.0,,CZ,,,,,
113,-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",True,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8.0,,CZ,,,,,
114,-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,True,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9.0,,CZ,,,,,
115,-11,,Textiles and textile articles,True,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10.0,,CZ,,,,,
116,-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",True,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11.0,,CZ,,,,,
117,-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",True,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12.0,,CZ,,,,,
118,-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",True,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13.0,,CZ,,,,,
119,-15,,Base metals and articles of base metal,True,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14.0,,CZ,,,,,
120,-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",True,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15.0,,CZ,,,,,
121,-17,,"Vehicles, aircraft, vessels and associated transport equipment",True,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16.0,,CZ,,,,,
122,-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",True,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17.0,,CZ,,,,,
123,-19,,Arms and ammunition; parts and accessories thereof,True,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18.0,,CZ,,,,,
124,-20,,Miscellaneous manufactured articles,True,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19.0,,CZ,,,,,
125,-21,,"Works of art, collectors' pieces and antiques",True,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20.0,,CZ,,,,,
126,-1,,Live animals; animal products,True,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0.0,,DK,,,,,
127,-2,,Vegetable products,True,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1.0,,DK,,,,,
128,-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,True,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2.0,,DK,,,,,
129,-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",True,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3.0,,DK,,,,,
130,-5,,Mineral products,True,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4.0,,DK,,,,,
131,-6,,Products of the chemical or allied industries,True,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5.0,,DK,,,,,
132,-7,,Plastics and articles thereof; rubber and articles thereof,True,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6.0,,DK,,,,,
133,-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",True,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7.0,,DK,,,,,
134,-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",True,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8.0,,DK,,,,,
135,-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,True,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9.0,,DK,,,,,
136,-11,,Textiles and textile articles,True,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10.0,,DK,,,,,
137,-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",True,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11.0,,DK,,,,,
138,-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",True,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12.0,,DK,,,,,
139,-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",True,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13.0,,DK,,,,,
140,-15,,Base metals and articles of base metal,True,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14.0,,DK,,,,,
141,-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",True,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15.0,,DK,,,,,
142,-17,,"Vehicles, aircraft, vessels and associated transport equipment",True,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16.0,,DK,,,,,
143,-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",True,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17.0,,DK,,,,,
144,-19,,Arms and ammunition; parts and accessories thereof,True,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18.0,,DK,,,,,
145,-20,,Miscellaneous manufactured articles,True,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19.0,,DK,,,,,
